"_id",saleDate,items.0.name,items.0.tags.0,items.0.tags.1,items.0.tags.2,items.0.tags.3,items.0.price,items.0.quantity,items.1.name,items.1.tags.0,items.1.tags.1,items.1.tags.2,items.1.tags.3,items.1.price,items.1.quantity,items.2.name,items.2.tags.0,items.2.tags.1,items.2.tags.2,items.2.tags.3,items.2.price,items.2.quantity,items.3.name,items.3.tags.0,items.3.tags.1,items.3.tags.2,items.3.tags.3,items.3.price,items.3.quantity,items.4.name,items.4.tags.0,items.4.tags.1,items.4.tags.2,items.4.tags.3,items.4.price,items.4.quantity,items.5.name,items.5.tags.0,items.5.tags.1,items.5.tags.2,items.5.tags.3,items.5.price,items.5.quantity,items.6.name,items.6.tags.0,items.6.tags.1,items.6.tags.2,items.6.tags.3,items.6.price,items.6.quantity,items.7.name,items.7.tags.0,items.7.tags.1,items.7.tags.2,items.7.tags.3,items.7.price,items.7.quantity,items.8.name,items.8.tags.0,items.8.tags.1,items.8.tags.2,items.8.tags.3,items.8.price,items.8.quantity,items.9.name,items.9.tags.0,items.9.tags.1,items.9.tags.2,items.9.price,items.9.quantity,storeLocation,customer.gender,customer.age,customer.email,customer.satisfaction,couponUsed,purchaseMethod
5bd761dcae323e45a93cd02f,2017-06-11T12:22:46.749Z,laptop,electronics,school,office,,1181.52,2,notepad,office,writing,school,,19.32,1,backpack,school,travel,kids,,195.17,4,pens,writing,office,school,stationary,23.65,1,notepad,office,writing,school,,30.94,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,M,61,lajdo@zizkuen.au,1,false,Online
5bd761dcae323e45a93cd031,2017-06-25T19:58:51.303Z,envelopes,stationary,office,general,,7.63,8,printer paper,office,stationary,,,14.81,9,binder,school,general,organization,,18.91,3,binder,school,general,organization,,13.52,5,notepad,office,writing,school,,36.45,5,pens,writing,office,school,stationary,6.89,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,M,35,vitwif@pop.eu,1,false,Online
5bd761dcae323e45a93cd038,2013-03-20T10:14:53.681Z,notepad,office,writing,school,,29.96,3,binder,school,general,organization,,18.39,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,M,30,remcihce@iwjamwit.kp,1,false,In store
5bd761dcae323e45a93cd039,2013-04-08T23:03:45.030Z,printer paper,office,stationary,,,14.48,3,notepad,office,writing,school,,33.76,5,laptop,electronics,school,office,,784.97,1,pens,writing,office,school,stationary,41.19,2,binder,school,general,organization,,23.13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,F,57,weptohen@on.ch,5,false,Phone
5bd761dcae323e45a93cd040,2017-06-09T10:45:25.962Z,printer paper,office,stationary,,,35.29,6,notepad,office,writing,school,,39.91,2,backpack,school,travel,kids,,194.26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,M,68,vozeztib@objibus.wf,4,false,In store
5bd761dcae323e45a93cd044,2013-05-30T15:09:54.276Z,pens,writing,office,school,stationary,53.26,4,envelopes,stationary,office,general,,10.37,5,binder,school,general,organization,,15.11,10,envelopes,stationary,office,general,,20.34,7,notepad,office,writing,school,,11.06,4,backpack,school,travel,kids,,166.58,3,notepad,office,writing,school,,36.17,3,printer paper,office,stationary,,,39.58,1,laptop,electronics,school,office,,828.82,1,,,,,,,Austin,F,55,jaddo@epda.in,3,false,In store
5bd761dcae323e45a93cd047,2013-02-16T11:24:26.680Z,envelopes,stationary,office,general,,11.13,9,pens,writing,office,school,stationary,71.0,3,pens,writing,office,school,stationary,33.6,1,notepad,office,writing,school,,11.27,1,binder,school,general,organization,,11.4,1,notepad,office,writing,school,,36.93,5,envelopes,stationary,office,general,,23.61,1,backpack,school,travel,kids,,97.83,4,,,,,,,,,,,,,,Denver,M,66,baku@epovet.la,2,false,In store
5bd761dcae323e45a93cd04b,2014-07-16T04:13:47.488Z,envelopes,stationary,office,general,,7.91,3,printer paper,office,stationary,,,48.17,8,pens,writing,office,school,stationary,18.42,4,binder,school,general,organization,,15.43,3,envelopes,stationary,office,general,,6.71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin,F,37,ebu@jad.dk,3,false,Online
5bd761dcae323e45a93cd04e,2015-08-30T07:37:03.111Z,printer paper,office,stationary,,,18.66,5,laptop,electronics,school,office,,1424.47,1,pens,writing,office,school,stationary,16.86,3,notepad,office,writing,school,,8.49,4,envelopes,stationary,office,general,,11.09,6,binder,school,general,organization,,28.98,10,backpack,school,travel,kids,,132.13,2,envelopes,stationary,office,general,,22.8,8,pens,writing,office,school,stationary,62.22,3,,,,,,,London,M,50,pecsobfan@win.net,5,true,In store
5bd761dcae323e45a93cd051,2014-04-20T02:52:42.398Z,notepad,office,writing,school,,31.79,4,pens,writing,office,school,stationary,41.95,1,envelopes,stationary,office,general,,15.32,7,notepad,office,writing,school,,28.07,5,envelopes,stationary,office,general,,5.65,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,F,55,gem@dibihu.sv,4,false,Online
5bd761dcae323e45a93cd058,2017-08-17T00:40:46.374Z,binder,school,general,organization,,15.75,5,printer paper,office,stationary,,,24.95,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Diego,M,18,gacaf@pob.fj,4,false,Online
5bd761dcae323e45a93cd059,2013-11-12T20:48:23.930Z,backpack,school,travel,kids,,129.88,5,laptop,electronics,school,office,,1082.75,3,binder,school,general,organization,,23.0,3,envelopes,stationary,office,general,,23.21,4,envelopes,stationary,office,general,,5.42,1,binder,school,general,organization,,20.55,7,notepad,office,writing,school,,32.53,2,notepad,office,writing,school,,29.04,3,printer paper,office,stationary,,,32.15,3,notepad,office,writing,school,23.72,4,Seattle,F,35,ka@ninocudid.pk,2,false,In store
5bd761dcae323e45a93cd061,2015-06-23T15:48:03.615Z,laptop,electronics,school,office,,1136.04,5,pens,writing,office,school,stationary,73.14,5,printer paper,office,stationary,,,33.22,9,notepad,office,writing,school,,26.75,4,envelopes,stationary,office,general,,19.54,9,binder,school,general,organization,,23.93,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,M,40,ta@ubaceah.tk,4,false,Online
5bd761dcae323e45a93cd063,2016-12-26T18:51:43.177Z,pens,writing,office,school,stationary,39.24,4,pens,writing,office,school,stationary,69.34,3,binder,school,general,organization,,27.62,7,binder,school,general,organization,,20.82,7,envelopes,stationary,office,general,,13.71,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,F,35,sigot@musob.nu,4,false,In store
5bd761dcae323e45a93cd064,2015-03-10T10:09:32.078Z,notepad,office,writing,school,,31.09,3,printer paper,office,stationary,,,28.94,4,pens,writing,office,school,stationary,77.26,1,laptop,electronics,school,office,,1419.64,2,pens,writing,office,school,stationary,71.5,5,envelopes,stationary,office,general,,22.03,6,notepad,office,writing,school,,16.48,5,,,,,,,,,,,,,,,,,,,,,Seattle,M,63,dekzor@zefucve.eh,4,false,Phone
5bd761dcae323e45a93cd065,2014-08-30T19:21:17.412Z,pens,writing,office,school,stationary,15.33,3,backpack,school,travel,kids,,138.07,3,notepad,office,writing,school,,11.71,2,pens,writing,office,school,stationary,11.32,5,binder,school,general,organization,,10.17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,F,36,adkesgor@cuticih.cd,5,false,Phone
5bd761dcae323e45a93cd066,2014-06-27T08:53:41.094Z,pens,writing,office,school,stationary,38.06,1,envelopes,stationary,office,general,,9.06,6,binder,school,general,organization,,13.73,8,backpack,school,travel,kids,,136.41,4,notepad,office,writing,school,,13.08,2,envelopes,stationary,office,general,,11.76,6,notepad,office,writing,school,,25.46,5,printer paper,office,stationary,,,30.89,3,,,,,,,,,,,,,,Seattle,M,52,hedmetul@zizacum.in,4,false,Online
5bd761dcae323e45a93cd06f,2013-12-26T01:52:07.284Z,notepad,office,writing,school,,38.38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,M,34,ecuonu@loofuno.nz,5,true,In store
5bd761dcae323e45a93cd070,2013-10-28T04:30:35.709Z,pens,writing,office,school,stationary,57.24,3,printer paper,office,stationary,,,13.82,10,binder,school,general,organization,,24.06,8,notepad,office,writing,school,,17.7,2,envelopes,stationary,office,general,,20.9,4,notepad,office,writing,school,,35.99,3,pens,writing,office,school,stationary,28.36,3,binder,school,general,organization,,26.62,3,backpack,school,travel,kids,,140.94,5,,,,,,,Denver,F,33,ihuwih@gabec.au,4,false,In store
5bd761dcae323e45a93cd075,2016-08-25T02:08:43.797Z,binder,school,general,organization,,26.44,7,backpack,school,travel,kids,,153.84,1,notepad,office,writing,school,,34.27,4,binder,school,general,organization,,26.19,6,envelopes,stationary,office,general,,11.2,6,notepad,office,writing,school,,12.37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,M,48,huani@ritucazi.af,2,false,In store
5bd761dcae323e45a93cd079,2014-05-29T13:32:20.539Z,laptop,electronics,school,office,,903.7,3,envelopes,stationary,office,general,,22.77,6,notepad,office,writing,school,,28.72,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,F,65,fobhupusi@atcodim.ye,3,false,In store
5bd761dcae323e45a93cd07a,2015-02-15T17:41:53.206Z,printer paper,office,stationary,,,32.38,4,laptop,electronics,school,office,,1282.77,3,envelopes,stationary,office,general,,21.39,5,notepad,office,writing,school,,17.9,2,backpack,school,travel,kids,,180.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,M,66,rewluclil@zufi.ca,4,false,Online
5bd761dcae323e45a93cd082,2013-04-19T01:37:42.532Z,printer paper,office,stationary,,,42.72,8,notepad,office,writing,school,,35.93,1,pens,writing,office,school,stationary,48.98,2,notepad,office,writing,school,,11.0,3,pens,writing,office,school,stationary,8.72,1,notepad,office,writing,school,,15.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,M,43,romos@uddic.ml,5,false,In store
5bd761dcae323e45a93cd083,2013-04-02T12:01:04.452Z,binder,school,general,organization,,11.32,5,envelopes,stationary,office,general,,18.42,3,notepad,office,writing,school,,30.13,5,printer paper,office,stationary,,,14.53,2,notepad,office,writing,school,,17.14,5,envelopes,stationary,office,general,,11.03,4,binder,school,general,organization,,29.9,10,pens,writing,office,school,stationary,20.54,1,,,,,,,,,,,,,,Denver,M,54,edilurow@movoz.kn,5,false,Phone
5bd761dcae323e45a93cd085,2016-06-28T03:34:00.813Z,envelopes,stationary,office,general,,20.75,7,printer paper,office,stationary,,,12.51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,F,67,kof@uszi.cx,5,false,In store
5bd761dcae323e45a93cd086,2016-10-13T07:28:24.282Z,notepad,office,writing,school,,23.57,4,notepad,office,writing,school,,36.84,2,envelopes,stationary,office,general,,24.87,1,pens,writing,office,school,stationary,23.52,4,notepad,office,writing,school,,39.88,5,binder,school,general,organization,,25.86,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin,M,39,usuzola@depove.km,5,false,Phone
5bd761dcae323e45a93cd087,2015-08-16T16:03:40.306Z,binder,school,general,organization,,27.42,10,envelopes,stationary,office,general,,5.06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,F,31,ramubdo@lovlozjuh.bw,5,false,Online
5bd761dcae323e45a93cd08a,2013-07-31T04:18:22.544Z,pens,writing,office,school,stationary,9.82,3,binder,school,general,organization,,27.63,9,envelopes,stationary,office,general,,19.29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,F,71,semevahe@ja.gd,4,false,In store
5bd761dcae323e45a93cd099,2016-09-30T05:04:16.846Z,notepad,office,writing,school,,7.44,4,pens,writing,office,school,stationary,33.36,5,envelopes,stationary,office,general,,12.85,10,backpack,school,travel,kids,,143.51,4,notepad,office,writing,school,,25.05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,F,48,wir@osibova.aq,2,true,In store
5bd761dcae323e45a93cd09c,2016-07-31T06:37:33.326Z,binder,school,general,organization,,22.65,9,pens,writing,office,school,stationary,54.77,5,envelopes,stationary,office,general,,14.63,5,notepad,office,writing,school,,7.01,4,backpack,school,travel,kids,,150.58,2,notepad,office,writing,school,,18.6,3,pens,writing,office,school,stationary,76.95,5,,,,,,,,,,,,,,,,,,,,,Denver,M,49,el@kadi.py,4,false,Phone
5bd761dcae323e45a93cd09d,2016-11-02T14:20:05.542Z,printer paper,office,stationary,,,21.07,9,notepad,office,writing,school,,10.59,1,laptop,electronics,school,office,,1069.26,2,notepad,office,writing,school,,33.47,5,envelopes,stationary,office,general,,8.58,5,binder,school,general,organization,,15.35,4,backpack,school,travel,kids,,160.54,5,pens,writing,office,school,stationary,39.74,3,,,,,,,,,,,,,,Seattle,M,54,ba@jemce.us,5,true,Online
5bd761dcae323e45a93cd09e,2017-04-04T03:50:36.177Z,envelopes,stationary,office,general,,22.62,6,laptop,electronics,school,office,,1307.22,2,binder,school,general,organization,,20.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,M,34,iz@covikse.com,5,false,Online
5bd761dcae323e45a93cd0a1,2013-09-12T13:06:41.308Z,notepad,office,writing,school,,8.72,1,printer paper,office,stationary,,,13.37,5,binder,school,general,organization,,19.45,1,envelopes,stationary,office,general,,24.31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin,F,43,gerwore@aj.py,4,false,In store
5bd761dcae323e45a93cd0a2,2016-06-02T07:06:50.532Z,laptop,electronics,school,office,,1554.35,3,backpack,school,travel,kids,,143.31,2,binder,school,general,organization,,24.25,5,notepad,office,writing,school,,33.54,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,M,58,uwokow@cu.za,3,false,Online
5bd761dcae323e45a93cd0a3,2016-05-09T13:27:18.043Z,notepad,office,writing,school,,29.61,1,notepad,office,writing,school,,28.11,5,binder,school,general,organization,,22.12,8,pens,writing,office,school,stationary,56.61,3,envelopes,stationary,office,general,,20.53,1,backpack,school,travel,kids,,79.6,2,pens,writing,office,school,stationary,68.28,5,,,,,,,,,,,,,,,,,,,,,Seattle,F,22,poscirhuf@ip.bm,4,false,In store
5bd761dcae323e45a93cd0ab,2016-01-02T14:27:48.827Z,envelopes,stationary,office,general,,5.95,6,pens,writing,office,school,stationary,7.71,3,printer paper,office,stationary,,,31.75,6,pens,writing,office,school,stationary,58.4,1,notepad,office,writing,school,,12.46,5,laptop,electronics,school,office,,1242.38,5,backpack,school,travel,kids,,93.85,4,,,,,,,,,,,,,,,,,,,,,Seattle,M,33,berpe@di.fj,4,false,Online
5bd761dcae323e45a93cd0ae,2014-05-06T11:13:03.185Z,pens,writing,office,school,stationary,15.32,5,notepad,office,writing,school,,8.77,3,pens,writing,office,school,stationary,24.41,3,notepad,office,writing,school,,31.02,3,binder,school,general,organization,,19.77,3,notepad,office,writing,school,,34.49,2,laptop,electronics,school,office,,757.48,2,printer paper,office,stationary,,,36.09,5,,,,,,,,,,,,,,Austin,M,58,alne@imjip.nl,1,false,In store
5bd761dcae323e45a93cd0af,2015-10-14T23:25:30.610Z,pens,writing,office,school,stationary,54.5,1,binder,school,general,organization,,22.38,1,printer paper,office,stationary,,,36.78,7,envelopes,stationary,office,general,,6.59,4,laptop,electronics,school,office,,1444.41,3,pens,writing,office,school,stationary,41.97,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,F,39,fip@ruc.cg,5,false,Phone
5bd761dcae323e45a93cd0c2,2013-05-18T12:08:01.712Z,laptop,electronics,school,office,,1178.89,2,backpack,school,travel,kids,,104.39,1,notepad,office,writing,school,,33.0,3,notepad,office,writing,school,,21.38,5,envelopes,stationary,office,general,,21.44,1,pens,writing,office,school,stationary,17.26,2,notepad,office,writing,school,,19.22,1,pens,writing,office,school,stationary,6.42,5,binder,school,general,organization,,25.51,6,envelopes,stationary,office,general,17.15,10,London,M,46,mavap@pifonli.eh,3,false,In store
5bd761dcae323e45a93cd0c4,2013-08-28T08:43:34.725Z,notepad,office,writing,school,,8.72,5,laptop,electronics,school,office,,1230.13,4,notepad,office,writing,school,,35.53,1,binder,school,general,organization,,27.2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,M,43,jul@orusos.mn,5,false,In store
5bd761dcae323e45a93cd0c5,2016-12-04T18:02:07.520Z,binder,school,general,organization,,26.28,8,pens,writing,office,school,stationary,78.52,3,envelopes,stationary,office,general,,14.07,2,printer paper,office,stationary,,,36.06,5,notepad,office,writing,school,,12.85,5,notepad,office,writing,school,,11.14,2,backpack,school,travel,kids,,82.84,2,pens,writing,office,school,stationary,55.07,5,laptop,electronics,school,office,,1267.91,5,,,,,,,New York,F,25,liftomge@zunefa.sm,3,false,Online
5bd761dcae323e45a93cd0c8,2014-01-21T03:40:45.655Z,binder,school,general,organization,,16.94,10,pens,writing,office,school,stationary,35.89,1,binder,school,general,organization,,29.45,5,notepad,office,writing,school,,16.51,1,envelopes,stationary,office,general,,19.65,5,backpack,school,travel,kids,,112.68,5,laptop,electronics,school,office,,1420.16,2,pens,writing,office,school,stationary,76.64,4,,,,,,,,,,,,,,Denver,F,27,hi@cipo.sd,1,false,Online
5bd761dcae323e45a93cd0d1,2015-07-10T06:41:15.727Z,laptop,electronics,school,office,,988.61,1,binder,school,general,organization,,28.31,1,printer paper,office,stationary,,,43.49,4,notepad,office,writing,school,,11.96,5,pens,writing,office,school,stationary,33.72,2,notepad,office,writing,school,,39.9,1,envelopes,stationary,office,general,,7.29,9,,,,,,,,,,,,,,,,,,,,,Seattle,M,30,akeci@iszuhje.uy,4,false,Online
5bd761dcae323e45a93cd0d8,2017-06-16T04:33:28.758Z,laptop,electronics,school,office,,605.99,2,pens,writing,office,school,stationary,22.9,5,notepad,office,writing,school,,6.4,3,envelopes,stationary,office,general,,18.37,6,printer paper,office,stationary,,,30.06,10,envelopes,stationary,office,general,,12.16,10,notepad,office,writing,school,,8.26,5,,,,,,,,,,,,,,,,,,,,,Denver,F,50,uveifivoj@bib.mg,4,false,In store
5bd761dcae323e45a93cd0d9,2015-01-21T14:43:16.567Z,binder,school,general,organization,,25.78,5,envelopes,stationary,office,general,,22.6,4,notepad,office,writing,school,,36.18,3,pens,writing,office,school,stationary,70.71,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,F,31,kize@fisme.do,5,false,In store
5bd761dcae323e45a93cd0e1,2013-09-10T14:05:24.790Z,notepad,office,writing,school,,25.86,3,binder,school,general,organization,,23.97,10,laptop,electronics,school,office,,486.74,4,notepad,office,writing,school,,16.85,3,pens,writing,office,school,stationary,21.35,2,envelopes,stationary,office,general,,7.04,5,notepad,office,writing,school,,23.18,1,printer paper,office,stationary,,,49.94,7,,,,,,,,,,,,,,Denver,F,52,ujadeh@kawpeba.se,4,false,In store
5bd761dcae323e45a93cd0e5,2014-03-15T21:35:51.519Z,envelopes,stationary,office,general,,7.78,4,binder,school,general,organization,,25.13,4,pens,writing,office,school,stationary,64.5,2,notepad,office,writing,school,,38.52,5,notepad,office,writing,school,,18.86,4,pens,writing,office,school,stationary,24.37,2,binder,school,general,organization,,12.59,10,envelopes,stationary,office,general,,9.83,3,,,,,,,,,,,,,,Austin,F,58,bivsemut@kuloki.mv,4,false,Online
5bd761dcae323e45a93cd0e6,2013-05-12T20:04:38.915Z,notepad,office,writing,school,,15.55,5,notepad,office,writing,school,,31.91,1,laptop,electronics,school,office,,805.81,1,notepad,office,writing,school,,29.02,1,binder,school,general,organization,,13.91,2,backpack,school,travel,kids,,151.56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,F,47,bajucsi@madiw.bd,5,false,Phone
5bd761dcae323e45a93cd0ea,2013-06-28T14:33:49.012Z,binder,school,general,organization,,17.47,5,notepad,office,writing,school,,37.74,5,printer paper,office,stationary,,,42.82,9,envelopes,stationary,office,general,,15.01,8,notepad,office,writing,school,,37.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,F,25,pilruzji@uvofo.nc,5,false,Online
5bd761dcae323e45a93cd0eb,2016-09-03T18:05:44.954Z,printer paper,office,stationary,,,17.18,6,envelopes,stationary,office,general,,20.59,4,pens,writing,office,school,stationary,25.7,2,notepad,office,writing,school,,35.58,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin,M,57,silwase@wodvi.de,3,false,In store
5bd761dcae323e45a93cd0f2,2014-06-03T05:48:46.147Z,binder,school,general,organization,,17.44,4,envelopes,stationary,office,general,,13.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,M,34,rav@gabnaaza.pt,5,false,In store
5bd761dcae323e45a93cd0f3,2016-06-09T14:40:49.178Z,pens,writing,office,school,stationary,34.76,2,notepad,office,writing,school,,37.44,1,envelopes,stationary,office,general,,8.76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,F,28,wukdamit@mev.bb,3,false,In store
5bd761dcae323e45a93cd0f8,2017-11-18T00:19:26.593Z,notepad,office,writing,school,,38.97,2,binder,school,general,organization,,23.94,1,envelopes,stationary,office,general,,18.18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin,M,19,daw@tizzecnu.ar,4,false,In store
5bd761dcae323e45a93cd0fa,2017-11-29T04:34:25.129Z,notepad,office,writing,school,,31.34,5,envelopes,stationary,office,general,,16.64,4,printer paper,office,stationary,,,24.15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,F,41,ziwaffa@hij.et,1,false,In store
5bd761dcae323e45a93cd0fc,2017-08-03T14:52:08.610Z,notepad,office,writing,school,,21.89,1,envelopes,stationary,office,general,,15.37,2,notepad,office,writing,school,,28.31,2,laptop,electronics,school,office,,1085.29,5,pens,writing,office,school,stationary,26.62,3,binder,school,general,organization,,18.83,4,binder,school,general,organization,,21.1,3,,,,,,,,,,,,,,,,,,,,,Denver,F,39,fufa@zulpaplid.kh,4,false,Online
